,0,1,2,3
0,8,8,8,8
1,27,9,27,27
2,9,9,9,9
3,26,26,26,26
4,5,5,5,5
5,6,6,6,6
6,19,19,19,19
7,8,8,8,8
8,12,12,12,12
9,11,11,11,11
10,5,5,5,5
11,11,11,11,11
12,19,19,19,19
13,19,28,28,28
14,7,7,7,7
15,18,18,18,18
16,26,26,26,26
17,2,11,2,11
18,26,26,6,26
19,13,13,13,13
20,12,12,12,12
21,2,2,2,2
22,5,5,5,5
23,11,7,7,7
24,11,11,11,11
25,8,8,8,8
26,12,12,12,12
27,5,11,5,5
28,20,20,20,20
29,20,20,20,20
30,5,5,5,5
31,5,5,5,5
32,1,1,1,1
33,9,9,9,9
34,8,8,8,8
35,6,6,6,6
36,9,9,9,9
37,2,2,2,2
38,1,1,1,1
39,28,28,28,28
40,11,11,11,11
41,7,7,7,7
42,20,20,20,20
43,5,5,5,5
44,25,25,25,25
45,1,2,1,2
46,11,11,11,11
47,5,5,5,5
48,4,4,4,4
49,1,1,1,1
50,11,11,11,11
51,6,6,6,6
52,7,7,7,7
53,19,19,19,19
54,2,2,2,2
55,26,26,26,26
56,12,12,12,12
57,8,8,8,8
58,15,15,15,15
59,11,11,11,11
60,3,3,3,3
61,11,11,11,11
62,28,28,28,28
63,8,8,8,8
64,11,11,11,11
65,4,4,4,4
66,11,11,11,11
67,8,8,8,8
68,6,6,6,6
69,28,28,28,28
70,5,5,5,5
71,9,9,15,15
72,11,11,5,5
73,8,8,8,8
74,14,14,14,14
75,11,11,11,11
76,8,8,8,8
77,9,9,9,9
78,9,9,9,9
79,4,4,4,4
80,1,1,1,1
81,1,1,1,1
82,1,1,1,1
83,8,8,8,8
84,20,20,20,20
85,1,25,25,1
86,11,11,11,11
87,11,11,11,12
88,14,14,14,14
89,5,26,26,5
90,9,9,9,9
91,7,7,7,7
92,6,6,9,6
93,9,9,20,9
94,8,11,11,11
95,6,9,6,6
96,19,19,19,19
97,11,11,11,11
98,6,6,6,6
99,11,11,11,11
100,11,11,11,11
101,11,11,11,11
102,25,25,25,25
103,12,12,12,12
104,15,15,15,15
105,21,19,21,21
106,26,11,11,26
107,8,8,8,8
108,1,1,1,1
109,5,18,18,18
110,1,1,1,1
111,23,23,23,23
112,28,28,28,28
113,19,19,19,19
114,20,20,20,20
115,6,6,6,6
116,22,22,22,22
117,7,7,7,7
118,28,28,28,28
119,13,13,13,13
120,9,9,9,9
121,13,13,13,13
122,9,9,9,9
123,5,5,5,5
124,11,11,19,11
125,5,8,8,8
126,28,28,28,28
127,7,7,7,7
128,11,11,11,12
129,18,18,18,18
130,15,20,20,20
131,9,9,28,28
132,20,20,20,20
133,17,17,17,17
134,1,1,1,1
135,5,5,5,20
136,11,28,11,11
137,28,28,28,28
138,1,1,1,1
139,11,11,5,5
140,8,8,8,8
141,5,5,5,5
142,28,28,28,28
143,3,3,3,3
144,5,5,5,5
145,1,1,1,1
146,11,11,11,11
147,26,26,26,26
148,19,19,19,19
149,25,25,25,25
150,19,19,19,19
151,9,28,28,9
152,7,7,7,7
153,7,7,7,7
154,7,7,7,7
155,6,6,6,6
156,12,12,12,12
157,11,11,11,11
158,7,7,7,7
159,15,15,15,15
160,28,28,28,28
161,9,9,9,9
162,20,20,20,20
163,12,12,12,12
164,7,7,7,7
165,1,1,1,1
166,15,15,15,15
167,6,6,6,6
168,28,28,28,28
169,11,11,11,11
170,11,8,11,8
171,11,11,11,25
172,19,19,19,19
173,9,9,9,9
174,16,16,16,16
175,12,12,12,12
176,5,5,5,5
177,11,11,11,11
178,12,11,11,12
179,28,28,28,28
180,8,8,8,8
181,16,16,16,16
182,2,2,2,2
183,28,28,28,28
184,11,5,11,5
185,11,11,11,11
186,28,28,28,28
187,20,20,20,20
188,11,19,19,19
189,12,12,12,12
190,23,23,23,23
191,12,12,12,12
192,20,20,20,20
193,5,5,5,5
194,12,12,12,12
195,16,16,16,16
196,9,9,9,9
197,11,11,11,11
198,5,5,5,5
199,25,25,25,25
200,9,9,9,9
201,8,8,8,8
202,5,5,5,5
203,9,9,28,28
204,4,4,4,4
205,7,7,7,7
206,28,28,28,28
207,11,11,4,4
208,11,11,11,11
209,4,4,4,4
210,5,5,5,11
211,9,28,28,28
212,1,1,1,1
213,5,5,5,5
214,12,12,12,12
215,9,9,6,6
216,19,19,19,19
217,9,28,9,28
218,2,2,2,2
219,11,11,11,11
220,5,5,5,5
221,16,16,16,16
222,11,11,11,11
223,9,17,9,6
224,13,13,13,13
225,19,19,19,19
226,11,11,23,23
227,5,5,5,5
228,9,9,9,9
229,9,28,28,28
230,13,13,13,13
231,11,11,11,11
232,7,7,7,7
233,10,10,10,10
234,19,19,19,19
235,23,23,23,23
236,28,28,28,28
237,28,28,28,28
238,26,26,26,26
239,13,13,13,13
240,19,19,19,19
241,5,5,5,5
242,13,13,13,13
243,17,17,17,17
244,16,16,16,16
245,13,13,13,13
246,4,4,4,4
247,11,11,11,11
248,20,20,20,20
249,25,25,25,25
250,3,3,3,3
251,1,1,1,1
252,6,6,6,6
253,25,25,25,25
254,6,6,6,6
255,26,11,26,26
256,28,28,28,28
257,14,14,14,14
258,28,28,28,28
259,20,20,20,20
260,11,11,11,11
261,19,19,19,19
262,1,1,1,1
263,11,11,11,11
264,9,6,6,6
265,17,17,17,9
266,16,16,16,16
267,19,8,19,19
268,6,6,6,6
269,11,11,11,11
270,17,17,17,17
271,28,28,28,28
272,6,6,6,6
273,23,23,23,23
274,11,11,11,11
275,11,11,11,11
276,5,5,5,5
277,5,5,5,5
278,11,11,11,11
279,18,18,5,5
280,26,26,26,26
281,6,6,9,9
282,15,15,15,15
283,11,11,11,11
284,5,5,5,5
285,17,17,17,17
286,9,9,6,9
287,28,28,28,28
288,28,28,28,28
289,9,28,9,28
290,25,25,25,9
291,7,7,7,7
292,6,6,6,6
293,9,9,9,9
294,8,8,8,8
295,11,11,11,11
296,9,11,11,28
297,14,28,28,14
298,12,12,12,12
299,13,13,13,13
300,25,9,25,28
301,30,30,30,28
302,6,6,6,6
303,16,16,16,16
304,11,11,11,11
305,1,1,1,1
306,12,12,12,12
307,6,6,6,6
308,12,12,12,12
309,12,9,12,9
310,11,11,11,11
311,8,8,8,8
312,6,6,6,14
313,8,8,8,8
314,5,5,5,5
315,11,11,11,11
316,28,28,28,28
317,26,26,26,26
318,6,6,28,6
319,8,26,26,8
320,28,28,28,28
321,11,11,11,11
322,11,11,11,11
323,9,9,9,9
324,17,8,8,8
325,10,10,10,10
326,28,28,28,28
327,8,8,19,8
328,28,28,28,28
329,11,11,11,11
330,11,11,11,11
331,9,9,9,9
332,11,11,11,11
333,28,28,28,28
334,5,5,5,5
335,19,19,19,19
336,20,20,20,20
337,3,3,3,3
338,19,19,19,19
339,28,28,28,28
340,8,8,8,8
341,7,7,7,7
342,13,13,6,9
343,6,6,6,6
344,7,7,7,7
345,20,20,20,20
346,11,11,11,11
347,5,5,5,5
348,28,28,28,28
349,15,15,15,15
350,7,7,7,7
351,11,11,11,11
352,11,15,11,15
353,11,11,11,11
354,11,11,11,11
355,4,4,4,4
356,11,16,16,16
357,2,2,2,2
358,1,1,1,1
359,28,28,28,28
360,11,11,11,11
361,6,8,9,11
362,2,2,2,2
363,7,7,7,7
364,7,7,7,7
365,28,28,28,28
366,28,28,28,28
367,13,13,13,13
368,28,28,28,25
369,1,1,8,1
370,11,11,11,11
371,19,19,19,19
372,5,5,5,5
373,26,26,26,26
374,25,25,25,25
375,4,4,4,4
376,5,5,5,5
377,11,11,11,11
378,28,28,28,28
379,11,11,11,11
380,9,6,17,9
381,4,4,4,4
382,28,28,28,28
383,13,13,13,13
384,9,9,9,9
385,5,5,5,5
386,28,28,28,28
387,8,8,8,8
388,9,9,11,6
389,6,6,6,6
390,8,8,8,8
391,20,11,20,11
392,11,11,11,11
393,6,6,6,6
394,12,12,12,12
395,8,8,11,11
396,19,19,19,19
397,5,5,5,5
398,5,5,5,5
399,9,9,9,9
400,6,6,6,6
401,6,7,6,6
402,28,9,28,28
403,25,25,9,25
404,30,30,28,30
405,8,8,8,8
406,11,11,11,11
407,11,11,11,11
408,19,19,19,19
409,7,7,7,7
410,28,28,28,28
411,9,9,9,9
412,11,11,11,11
413,28,28,28,17
414,5,6,6,6
415,15,15,15,15
416,15,15,15,15
417,25,25,25,25
418,28,28,9,28
419,12,12,12,12
420,11,11,11,11
421,19,19,19,19
422,12,12,12,12
423,9,9,9,28
424,12,12,12,12
425,11,11,11,11
426,16,16,16,16
427,18,18,18,18
428,9,9,9,9
429,6,6,6,6
430,28,25,28,25
431,16,16,16,16
432,7,7,7,7
433,15,15,15,15
434,25,25,25,25
435,20,20,20,20
436,6,6,6,6
437,6,6,6,6
438,8,8,8,8
439,25,25,25,25
440,13,13,13,13
441,5,5,5,5
442,28,28,28,28
443,8,8,8,8
444,11,11,11,11
445,19,19,19,28
446,8,6,6,8
447,8,8,8,8
448,9,9,9,9
449,11,11,11,11
450,1,1,11,11
451,16,16,16,16
452,11,11,11,11
453,19,19,19,19
454,15,15,15,15
455,1,1,1,1
456,17,17,17,17
457,20,20,20,20
458,13,13,13,13
459,25,25,25,25
460,19,15,15,15
461,11,11,11,11
462,25,28,28,25
463,7,7,7,7
464,12,12,12,12
465,6,6,26,6
466,19,15,19,15
467,11,11,11,11
468,9,9,9,9
469,9,9,9,9
470,12,12,12,25
471,28,28,28,28
472,6,6,6,6
473,5,5,5,5
474,5,5,5,5
475,19,19,19,19
476,2,2,2,2
477,17,17,17,17
478,12,12,12,12
479,11,11,11,11
480,8,8,8,8
481,11,11,6,6
482,19,19,19,19
483,19,19,19,19
484,11,22,22,22
485,9,15,9,15
486,6,6,6,6
487,9,9,9,9
488,8,8,8,8
489,19,19,19,19
490,10,10,10,10
491,7,15,15,15
492,19,19,19,19
493,17,11,11,11
494,7,7,7,7
495,25,6,6,6
496,9,11,9,9
497,12,12,12,12
498,11,11,11,11
499,7,7,7,7
500,5,5,5,5
501,25,28,25,28
502,5,5,5,5
503,19,19,19,19
504,11,11,11,11
505,11,11,11,11
506,25,25,25,25
507,15,19,15,15
508,8,8,8,8
509,10,10,26,10
510,15,15,15,15
511,1,1,1,1
512,3,3,3,3
513,25,25,25,25
514,5,5,5,5
515,11,11,11,11
516,26,26,26,26
517,15,15,7,7
518,28,28,28,28
519,24,24,24,24
520,28,28,25,28
521,9,9,9,9
522,15,6,15,6
523,10,10,10,15
524,5,20,5,5
525,28,28,28,28
526,5,5,5,5
527,8,8,8,8
528,6,6,6,6
529,2,2,2,2
530,26,26,26,26
531,1,1,1,11
532,6,6,6,6
533,11,11,4,11
534,19,19,19,19
535,6,9,9,6
536,28,28,28,28
537,26,26,26,26
538,19,6,19,6
539,11,8,11,11
540,9,9,8,9
541,11,1,11,1
542,15,15,19,19
543,28,9,9,28
544,16,7,7,7
545,10,10,26,26
546,7,7,7,7
547,19,19,19,19
548,7,7,7,7
549,12,12,12,12
550,6,6,6,6
551,11,11,11,11
552,9,9,9,9
553,26,26,26,26
554,20,5,5,20
555,11,11,11,28
556,15,15,15,15
557,28,6,28,6
558,6,6,6,6
559,7,7,7,7
560,20,20,20,20
561,19,19,19,19
562,6,8,8,8
563,28,2,28,2
564,16,16,16,16
565,6,6,6,6
566,12,12,12,12
567,9,9,9,6
568,10,10,10,10
569,9,9,17,28
570,8,26,8,8
571,25,25,25,25
572,12,12,12,12
573,11,11,11,11
574,14,14,14,14
575,9,2,2,2
576,9,9,28,9
577,28,28,28,28
578,28,9,9,28
579,9,28,9,9
580,28,28,28,28
581,8,8,8,8
582,8,8,11,11
583,17,26,17,26
