,0,1,2,3,4,5,6
1,76,75,68,76,68,68,77
2,88,68,68,68,73,74,88
3,88,88,88,88,88,88,68
4,80,68,80,80,77,80,68
5,80,80,78,88,78,88,88
6,68,68,68,80,80,80,80
7,68,80,87,68,80,68,87
8,68,76,80,80,80,77,68
9,80,80,68,80,80,80,80
10,80,69,80,80,80,69,69
11,88,88,78,88,88,88,78
12,88,88,78,68,68,68,78
13,77,68,68,68,77,68,68
14,67,80,80,80,80,80,67
15,80,80,80,80,69,69,69
16,77,77,68,68,86,77,77
17,78,69,73,88,69,88,83
18,80,80,80,68,68,68,80
19,68,80,80,80,68,68,68
20,86,68,68,80,86,80,68
21,88,73,77,84,77,69,84
22,73,80,69,80,73,73,80
23,88,88,69,88,80,69,69
24,73,74,73,69,78,74,69
25,69,77,69,77,77,77,69
26,68,68,68,68,77,77,77
27,68,73,73,68,68,68,73
28,88,73,68,73,68,80,68
29,68,78,78,73,77,68,78
30,40,40,40,80,80,80,40
31,68,68,68,68,80,89,89
32,67,67,79,79,67,79,67
33,73,88,68,68,68,68,68
34,77,77,77,80,68,68,77
35,76,68,76,74,76,76,68
36,86,68,80,80,80,80,86
37,67,80,80,67,80,80,67
38,87,87,68,87,68,87,88
39,73,78,68,78,87,78,68
40,77,77,68,77,68,77,68
41,68,77,77,68,77,68,77
42,77,77,67,67,67,77,77
43,88,67,88,67,88,67,88
44,88,67,67,67,80,88,67
45,67,67,77,67,80,67,67
46,80,67,80,67,67,80,80
47,67,77,67,77,80,80,67
48,79,79,79,79,67,67,79
49,67,77,67,86,86,67,77
50,50,74,73,74,50,50,74
51,67,67,90,80,80,67,89
52,67,67,80,67,67,80,67
53,88,73,88,88,73,88,67
54,80,88,73,88,73,80,68
55,86,67,67,78,86,88,88
56,78,80,67,78,80,67,80
57,67,80,67,80,80,67,80
58,67,67,67,67,67,80,80
59,80,80,67,80,67,67,67
60,80,66,80,80,66,66,80
61,80,80,67,67,67,67,67
62,74,67,74,87,87,67,87
63,77,77,76,76,77,77,76
64,80,80,80,80,67,80,67
65,66,77,80,77,80,66,80
66,68,68,77,68,68,68,77
67,67,77,67,67,67,67,77
68,88,67,73,73,88,88,67
69,67,86,77,77,67,67,67
70,77,67,86,67,77,67,67
71,84,75,75,76,84,75,84
72,81,78,81,81,77,78,67
73,73,77,90,77,90,77,90
74,38,77,38,38,38,38,80
75,79,79,79,67,67,79,67
76,66,78,66,78,80,80,66
77,66,88,88,88,66,66,88
78,80,76,74,76,76,66,80
79,88,88,66,88,73,66,88
80,66,73,66,73,89,73,89
81,67,67,67,67,77,86,77
82,73,66,73,87,74,66,73
83,66,77,86,66,77,66,86
84,87,67,87,67,67,83,87
85,67,77,67,77,77,77,67
86,80,80,66,66,80,66,80
87,66,66,66,80,66,66,80
88,66,66,77,77,77,86,77
89,87,87,87,87,55,87,87
90,66,88,66,86,77,66,66
91,66,76,76,76,76,66,76
92,86,73,73,78,86,78,78
93,69,80,80,77,77,80,80
94,77,76,77,76,63,76,77
95,77,65,76,65,76,84,65
96,64,88,88,87,73,73,73
97,80,63,74,90,63,90,63
98,80,88,80,80,64,88,64
99,84,84,76,75,10,75,10
100,88,70,78,70,70,78,88
101,74,83,74,74,83,74,73
102,43,76,75,75,75,75,43
103,75,75,69,75,84,69,84
104,69,69,77,69,69,69,69
105,69,69,69,69,69,77,77
106,69,88,69,69,80,80,69
107,80,80,80,80,69,80,80
108,77,77,77,77,77,69,77
109,77,77,77,87,77,77,87
110,73,74,74,74,74,74,77
111,86,77,69,86,69,77,77
