year,month,day
19970920,0,6,29
19970921,0,6,30
19970922,0,6,31
19970923,0,6,32
19970924,0,6,33
19970925,0,6,34
19970926,0,6,35
19970927,0,6,36
19970928,0,6,37
19970929,0,6,38
19970930,0,6,39
19971001,0,7,10
19971002,0,7,11
19971003,0,7,12
19971004,0,7,13
19971005,0,7,14
19971006,0,7,15
19971007,0,7,16
19971008,0,7,17
19971009,0,7,18
19971010,0,7,19
19971011,0,7,20
19971012,0,7,21
19971013,0,7,22
19971014,0,7,23
19971015,0,7,24
19971016,0,7,25
19971017,0,7,26
19971018,0,7,27
19971019,0,7,28
19971020,0,7,29
19971021,0,7,30
19971022,0,7,31
19971023,0,7,32
19971024,0,7,33
19971025,0,7,34
19971026,0,7,35
19971027,0,7,36
19971028,0,7,37
19971029,0,7,38
19971030,0,7,39
19971031,0,7,40
19971101,0,8,10
19971102,0,8,11
19971103,0,8,12
19971104,0,8,13
19971105,0,8,14
19971106,0,8,15
19971107,0,8,16
19971108,0,8,17
19971109,0,8,18
19971110,0,8,19
19971111,0,8,20
19971112,0,8,21
19971113,0,8,22
19971114,0,8,23
19971115,0,8,24
19971116,0,8,25
19971117,0,8,26
19971118,0,8,27
19971119,0,8,28
19971120,0,8,29
19971121,0,8,30
19971122,0,8,31
19971123,0,8,32
19971124,0,8,33
19971125,0,8,34
19971126,0,8,35
19971127,0,8,36
19971128,0,8,37
19971129,0,8,38
19971130,0,8,39
19971201,0,9,10
19971202,0,9,11
19971203,0,9,12
19971204,0,9,13
19971205,0,9,14
19971206,0,9,15
19971207,0,9,16
19971208,0,9,17
19971209,0,9,18
19971210,0,9,19
19971211,0,9,20
19971213,0,9,22
19971214,0,9,23
19971215,0,9,24
19971216,0,9,25
19971217,0,9,26
19971218,0,9,27
19971219,0,9,28
19971220,0,9,29
19971221,0,9,30
19971222,0,9,31
19971223,0,9,32
19971224,0,9,33
19971225,0,9,34
19971226,0,9,35
19971227,0,9,36
19971228,0,9,37
19971229,0,9,38
19971230,0,9,39
19971231,0,9,40
19980101,1,2,10
19980102,1,2,11
19980103,1,2,12
19980104,1,2,13
19980105,1,2,14
19980106,1,2,15
19980107,1,2,16
19980108,1,2,17
19980109,1,2,18
19980110,1,2,19
19980111,1,2,20
19980112,1,2,21
19980113,1,2,22
19980114,1,2,23
19980115,1,2,24
19980116,1,2,25
19980117,1,2,26
19980118,1,2,27
19980119,1,2,28
19980120,1,2,29
19980121,1,2,30
19980122,1,2,31
19980123,1,2,32
19980124,1,2,33
19980125,1,2,34
19980126,1,2,35
19980127,1,2,36
19980128,1,2,37
19980129,1,2,38
19980130,1,2,39
19980131,1,2,40
19980201,1,3,10
19980202,1,3,11
19980203,1,3,12
19980204,1,3,13
19980205,1,3,14
19980206,1,3,15
19980207,1,3,16
19980208,1,3,17
19980209,1,3,18
19980210,1,3,19
19980211,1,3,20
19980212,1,3,21
19980213,1,3,22
19980214,1,3,23
19980215,1,3,24
19980216,1,3,25
19980217,1,3,26
19980218,1,3,27
19980219,1,3,28
19980220,1,3,29
19980221,1,3,30
19980222,1,3,31
19980223,1,3,32
19980224,1,3,33
19980225,1,3,34
19980226,1,3,35
19980227,1,3,36
19980228,1,3,37
19980301,1,4,10
19980302,1,4,11
19980303,1,4,12
19980304,1,4,13
19980305,1,4,14
19980306,1,4,15
19980307,1,4,16
19980308,1,4,17
19980309,1,4,18
19980310,1,4,19
19980311,1,4,20
19980312,1,4,21
19980313,1,4,22
19980314,1,4,23
19980315,1,4,24
19980316,1,4,25
19980317,1,4,26
19980318,1,4,27
19980319,1,4,28
19980320,1,4,29
19980321,1,4,30
19980322,1,4,31
19980323,1,4,32
19980324,1,4,33
19980325,1,4,34
19980326,1,4,35
19980327,1,4,36
19980328,1,4,37
19980329,1,4,38
19980330,1,4,39
19980331,1,4,40
19980401,1,5,10
19980402,1,5,11
19980403,1,5,12
19980404,1,5,13
19980405,1,5,14
19980406,1,5,15
19980407,1,5,16
19980408,1,5,17
19980409,1,5,18
19980410,1,5,19
19980411,1,5,20
19980412,1,5,21
19980413,1,5,22
19980414,1,5,23
19980415,1,5,24
19980416,1,5,25
19980417,1,5,26
19980418,1,5,27
19980419,1,5,28
19980420,1,5,29
19980421,1,5,30
19980422,1,5,31
19980423,1,5,32
